file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-03T07:26:28.711.fits,14,2,1968.0,100.0,2096.0,1156.8,172.43508065726198,-43.9480810143819,172.44599862890047,-43.88546372001097,59582.31253891718,59582.31254094979,731.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,15,3,48.0,1893.8,336.0,4200.0,172.4539881788326,-43.84179613280246,172.47840930744127,-43.70515051809637,59582.31254197517,59582.31254623178,731.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,17,4,1536.0,4100.0,1392.0,0.0,172.92962519293627,-44.47997924521628,172.91813712893062,-44.72305300210103,59582.31245607277,59582.31073506409,26064.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,2,5,320.0,0.0,816.0,4100.0,172.29270189962494,-44.721974234192544,172.33602853097275,-44.4790974676224,59582.3125161212,59582.3125234358,731.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,25,6,1840.0,4200.0,1696.0,100.0,172.95357567496993,-43.96997459923097,172.94228597894278,-44.21306039221793,59582.31245607277,59582.3107222761,26064.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,29,7,1984.0,4200.0,1840.0,100.0,172.96471465927877,-43.70549610062959,172.95352122327498,-43.94857281528386,59582.31245607277,59582.31071588211,26064.0,,,,,
OMEGA.2022-01-03T07:26:28.711.fits,6,8,864.0,0.0,1392.0,4100.0,172.3401847237659,-44.45783104668733,172.38576828196142,-44.214934642568906,59582.31252390519,59582.3125312198,731.0,,,,,
OMEGA.2022-01-03T04:26:59.650.fits,26,5,48.0,1093.0,2096.0,676.3,149.2080572004459,-0.3795898396517812,149.32947720645117,-0.4042914461344885,59582.18568964396,59582.18621297693,27040.0,,,,,
OMEGA.2022-01-03T04:26:59.650.fits,27,6,48.0,612.5,496.0,523.4,149.33510954613692,-0.4080736853214836,149.36167000668527,-0.4133551232936064,59582.18618182,59582.1862837458,27040.0,,,,,
OMEGA.2022-01-03T04:26:59.650.fits,29,7,48.0,772.7,2096.0,420.1,149.0812416473826,-0.1341077070030635,149.202658350898,-0.155011070599244,59582.18546112906,59582.185810434166,11570.0,,,,,
OMEGA.2022-01-03T04:26:59.650.fits,30,8,48.0,388.3,1776.0,100.0,149.2080533460707,-0.1568962854056773,149.310498363363,-0.1739870550634356,59582.18582641985,59582.186120959,11570.0,,,,,
OMEGA.2022-01-03T00:33:56.321.fits,28,1,1472.0,3581.6,2096.0,3591.2,14.267313128825476,1.1415208625757989,14.304312180547472,1.1420837308967504,59582.02357066097,59582.02366045909,26038.0,,,,,
OMEGA.2022-01-16T01:33:46.593.fits,16,1,224.0,4200.0,2096.0,3495.1,37.57269318221953,-20.65452836812736,37.69129447935028,-20.69635908511837,59595.06712300191,59595.06714838697,27390.0,,,,,
OMEGA.2022-01-16T01:33:46.593.fits,29,2,48.0,3431.2,2096.0,2630.2,37.69712493203697,-20.70014724022404,37.82695993911236,-20.74758220604449,59595.06714968989,59595.067177298944,27390.0,,,,,
OMEGA.2022-01-16T01:33:46.593.fits,30,3,48.0,2598.4,2096.0,1797.4,37.83273067277685,-20.749462898612688,37.96265084669511,-20.79679612891776,59595.067178601865,59595.06720621092,27390.0,,,,,
OMEGA.2022-01-16T01:33:46.593.fits,31,4,48.0,1733.6,2096.0,964.6,37.96868229434141,-20.80056893585944,38.098682833442645,-20.845902318362715,59595.06720751384,59595.0672348449,27390.0,,,,,
OMEGA.2022-01-16T01:33:46.593.fits,32,5,48.0,900.8,2096.0,100.0,38.104529280043,-20.849670783489223,38.23461736939536,-20.896785840613127,59595.06723614782,59595.06726347888,27390.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,17,1,48.0,2146.1,1856.0,4100.0,44.98289220341132,-16.85802553406109,45.094823665450726,-16.74215878169026,59595.05175066413,59595.05175325321,46027.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,22,2,48.0,0.0,2096.0,2113.8,45.11530090411754,-16.72086327658377,45.24190746715209,-16.595426194610937,59595.05175372213,59595.05175658921,46027.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,23,3,48.0,2178.1,1872.0,4100.0,45.24777906013973,-16.59160673938839,45.36038770380056,-16.47749309089173,59595.05175650213,59595.051759091206,46027.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,27,4,1904.0,100.0,2096.0,291.9,45.362361003748845,-16.474940269782596,45.37420765315389,-16.463541697772463,59595.05175928213,59595.051759369206,46027.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,28,6,48.0,356.2,2096.0,2534.1,45.37988704549088,-16.459719001456662,45.50613520076128,-16.33032786950022,59595.05175956013,59595.0517624272,46027.0,,,,,
OMEGA.2022-01-16T01:11:56.269.fits,4,7,48.0,0.0,2096.0,2081.8,44.85024020338005,-16.98521026546576,44.977193019712885,-16.861837442486127,59595.051747884136,59595.05175047321,46027.0,,,,,
OMEGA.2022-01-16T01:05:51.698.fits,4,1,1840.0,4100.0,1760.0,0.0,44.965678256546205,-16.733850197302083,44.96069509637802,-16.97691130935258,59595.04575356096,59595.04576198803,10492.0,,,,,
